type_of_property,address,region,aluguel,aluguel_total,area,rooms,bathrooms,garage,furnished
Apartamento,Rua Marechal Bittencourt,"Riachuelo, Rio de Janeiro",700.0,1.368,55,2,1,1.0,False
Apartamento,Rua Tonelero,"Copacabana, Rio de Janeiro",4.2,6.012,140,5,2,1.0,True
Apartamento,Rua Correa Dutra,"Flamengo, Rio de Janeiro",2.45,3.198,53,1,1,,False
Apartamento,Rua Theodor Herzl,"Botafogo, Rio de Janeiro",3.3,4.075,61,2,1,,False
Apartamento,Rua Hilário de Gouvêia,"Copacabana, Rio de Janeiro",1.75,2.649,27,1,1,,False
Apartamento,Rua Coronel Paulo Malta Rezende,"Barra da Tijuca, Rio de Janeiro",3.4,5.313,63,2,2,1.0,True
Casa,Rua São Graciano,"Freguesia (jacarepaguá), Rio de Janeiro",2.7,3.265,90,2,2,,False
Apartamento,Avenida Afonso Arinos de Melo Franco,"Barra da Tijuca, Rio de Janeiro",3.8,5.264,64,2,3,1.0,True
Apartamento,Rua João Pinheiro,"Piedade, Rio de Janeiro",1.62,1.838,54,2,1,1.0,False
Apartamento,Rua Ana Cristina Cesar,"Freguesia (jacarepaguá), Rio de Janeiro",1.36,1.914,58,2,1,,False
Apartamento,Avenida São Josemaria Escrivá,"Itanhangá, Rio de Janeiro",1.5,2.418,60,2,2,1.0,False
Apartamento,Rua Oliveira Figueiredo,"Vaz Lobo, Rio de Janeiro",1.3,1.567,68,2,1,1.0,False
Apartamento,Rua Cônego Tobias,"Méier, Rio de Janeiro",2.5,2.997,54,2,2,,False
Apartamento,Avenida São Josemaria Escrivá,"Itanhangá, Rio de Janeiro",1.08,1.481,44,2,1,1.0,False
Apartamento,Rua Evaristo da Veiga,"Centro, Rio de Janeiro",1.2,1.764,35,1,1,,False
Apartamento,Rua Uruguai,"Tijuca, Rio de Janeiro",3.9,4.986,95,3,2,,False
Apartamento,Avenida Raimundo Magalhães Júnior,"Barra da Tijuca, Rio de Janeiro",5.5,7.852,120,4,1,,False
Casa,Travessa Matilde,"Tijuca, Rio de Janeiro",3.0,3.198,80,3,1,,False
Apartamento,Rua Ronald de Carvalho,"Copacabana, Rio de Janeiro",2.0,2.896,32,2,1,,True
Casa em condomínio,Estrada Coronel Vieira,"Irajá, Rio de Janeiro",1.6,1.627,50,2,2,1.0,False
Apartamento,Rua Jorge de Lima,"Jardim Guanabara, Rio de Janeiro",1.704,2.05,70,2,2,1.0,False
Casa,Rua Carolina Amado,"Irajá, Rio de Janeiro",1.5,1.564,90,3,1,1.0,False
Casa em condomínio,Rua Elisa de Albuquerque,"Todos Os Santos, Rio de Janeiro",1.8,2.061,70,2,2,1.0,False
Apartamento,Rua Daniel Carneiro,"Engenho de Dentro, Rio de Janeiro",587.0,610.0,14,1,1,,False
Studio e kitnet,Rua Ministro Viveiros de Castro,"Copacabana, Rio de Janeiro",1.504,2.043,28,1,1,,True
Studio e kitnet,Praia Botafogo,"Botafogo, Rio de Janeiro",701.0,1.18,18,1,1,,False
Casa em condomínio,Rua Antunes Maciel,"São Cristóvão, Rio de Janeiro",1.4,1.46,100,3,1,1.0,False
Studio e kitnet,Rua Paissandu,"Flamengo, Rio de Janeiro",1.505,1.943,17,1,1,,False
Studio e kitnet,Rua Visconde de Santa Isabel,"Vila Isabel, Rio de Janeiro",1.2,1.597,22,1,1,,True
Casa,Rua Francisca Zieze,"Pilares, Rio de Janeiro",560.0,584.0,30,1,1,,False
Apartamento,Avenida Prado Júnior,"Copacabana, Rio de Janeiro",2.451,3.206,30,1,1,1.0,False
Casa,Travessa Cerqueira Lima,"Riachuelo, Rio de Janeiro",1.149,1.458,50,2,1,,False
Studio e kitnet,Avenida Atlântica,"Copacabana, Rio de Janeiro",1.448,2.054,23,1,1,,False
Casa em condomínio,Rua Jordão,"Tanque, Rio de Janeiro",820.0,856.0,60,2,1,1.0,False
Apartamento,Praia Botafogo,"Botafogo, Rio de Janeiro",1.9,2.535,30,1,1,,False
Studio e kitnet,Rua Odilon Araújo,"Cachambi, Rio de Janeiro",700.0,858.0,30,1,1,,False
Apartamento,Rua Pereira Pinto,"Tomás Coelho, Rio de Janeiro",550.0,672.0,38,1,1,,False
Casa,Rua Santa Catarina,"Centro, Rio de Janeiro",798.0,867.0,30,1,1,,False
Apartamento,Avenida Nossa Senhora de Copacabana,"Copacabana, Rio de Janeiro",2.65,3.325,30,1,1,,True
Studio e kitnet,Rua Santo Amaro,"Glória, Rio de Janeiro",1.153,1.643,22,1,1,,False
Apartamento,Rua Conselheiro Jobim,"Engenho Novo, Rio de Janeiro",850.0,883.0,65,2,1,,False
Studio e kitnet,Rua Anita Garibaldi,"Copacabana, Rio de Janeiro",1.107,1.83,18,1,1,,False
Apartamento,Rua São Cláudio,"Estácio, Rio de Janeiro",1.105,1.148,30,1,1,,False
Apartamento,Rua Gonçalves,"Santa Teresa, Rio de Janeiro",845.0,1.192,49,1,1,,False
Studio e kitnet,Rua Antônio Basílio,"Tijuca, Rio de Janeiro",900.0,1.385,25,1,1,,False
Casa,Rua Ana Teles,"Campinho, Rio de Janeiro",1.206,1.258,70,1,1,,True
Apartamento,Rua Barata Ribeiro,"Copacabana, Rio de Janeiro",1.7,2.462,29,1,1,,False
Studio e kitnet,Avenida Dom Hélder Câmara,"Piedade, Rio de Janeiro",685.0,711.0,30,1,1,,False
Studio e kitnet,Avenida Nossa Senhora de Copacabana,"Copacabana, Rio de Janeiro",1.799,2.613,30,1,1,,True
Apartamento,Rua Viana Drumond,"Vila Isabel, Rio de Janeiro",800.0,2.107,100,3,3,1.0,False
Apartamento,Rua Ministro Viveiros de Castro,"Copacabana, Rio de Janeiro",2.35,2.93,34,1,1,,True
Casa,Rua Joaquim Mendes Malheiros,"Marechal Hermes, Rio de Janeiro",950.0,990.0,60,2,1,,False
Apartamento,Avenida Princesa Isabel,"Copacabana, Rio de Janeiro",2.0,2.597,36,1,1,,True
Studio e kitnet,Estrada dos Bandeirantes,"Jacarepaguá, Rio de Janeiro",840.0,1.059,30,1,1,,False
Studio e kitnet,Rua Júlio de Castilhos,"Copacabana, Rio de Janeiro",2.029,2.751,25,1,1,,True
Apartamento,Rua Pedro Américo,"Catete, Rio de Janeiro",1.25,1.299,33,1,1,1.0,False
Studio e kitnet,Rua Tiboim,"Braz de Pina, Rio de Janeiro",500.0,544.0,15,1,1,,False
Apartamento,Rua Joaquim Martins,"Encantado, Rio de Janeiro",1.294,1.773,48,2,1,1.0,True
Casa,Rua Clarimundo de Melo,"Encantado, Rio de Janeiro",1.2,1.252,54,2,1,,False
Casa,Rua do Outeiro,"Andaraí, Rio de Janeiro",1.883,2.033,60,2,2,1.0,False
Apartamento,Avenida São Josemaria Escrivá,"Itanhangá, Rio de Janeiro",1.026,1.926,50,2,1,1.0,False
Casa,Rua Jordão,"Tanque, Rio de Janeiro",1.0,1.107,50,2,1,1.0,False
Studio e kitnet,Rua Senador Vergueiro,"Flamengo, Rio de Janeiro",2.2,2.813,35,1,1,,True
