Property Type,Address,Region,Rent,Total Rent,Area,Rooms,Bathrooms,Garage,Furnished
Apartamento,Rua Marechal Bittencourt,Riachuelo,700.0,1.368,55,2,1,1.0,0
Apartamento,Rua Tonelero,Copacabana,4.2,6.012,140,5,2,1.0,1
Apartamento,Rua Correa Dutra,Flamengo,2.45,3.198,53,1,1,0.0,0
Apartamento,Rua Theodor Herzl,Botafogo,3.3,4.075,61,2,1,0.0,0
Apartamento,Rua Hilário de Gouvêia,Copacabana,1.75,2.649,27,1,1,0.0,0
Apartamento,Rua Coronel Paulo Malta Rezende,Barra da Tijuca,3.4,5.313,63,2,2,1.0,1
Casa,Rua São Graciano,Freguesia (jacarepaguá),2.7,3.265,90,2,2,0.0,0
Apartamento,Avenida Afonso Arinos de Melo Franco,Barra da Tijuca,3.8,5.264,64,2,3,1.0,1
Apartamento,Rua João Pinheiro,Piedade,1.62,1.838,54,2,1,1.0,0
Apartamento,Rua Ana Cristina Cesar,Freguesia (jacarepaguá),1.36,1.914,58,2,1,0.0,0
Apartamento,Avenida São Josemaria Escrivá,Itanhangá,1.5,2.418,60,2,2,1.0,0
Apartamento,Rua Oliveira Figueiredo,Vaz Lobo,1.3,1.567,68,2,1,1.0,0
Apartamento,Rua Cônego Tobias,Méier,2.5,2.997,54,2,2,0.0,0
Apartamento,Avenida São Josemaria Escrivá,Itanhangá,1.08,1.481,44,2,1,1.0,0
Apartamento,Rua Evaristo da Veiga,Centro,1.2,1.764,35,1,1,0.0,0
Apartamento,Rua Uruguai,Tijuca,3.9,4.986,95,3,2,0.0,0
Apartamento,Avenida Raimundo Magalhães Júnior,Barra da Tijuca,5.5,7.852,120,4,1,0.0,0
Casa,Travessa Matilde,Tijuca,3.0,3.198,80,3,1,0.0,0
Apartamento,Rua Ronald de Carvalho,Copacabana,2.0,2.896,32,2,1,0.0,1
Casa em condomínio,Estrada Coronel Vieira,Irajá,1.6,1.627,50,2,2,1.0,0
Apartamento,Rua Jorge de Lima,Jardim Guanabara,1.704,2.05,70,2,2,1.0,0
Casa,Rua Carolina Amado,Irajá,1.5,1.564,90,3,1,1.0,0
Casa em condomínio,Rua Elisa de Albuquerque,Todos Os Santos,1.8,2.061,70,2,2,1.0,0
Apartamento,Rua Daniel Carneiro,Engenho de Dentro,587.0,610.0,14,1,1,0.0,0
Studio e kitnet,Rua Ministro Viveiros de Castro,Copacabana,1.504,2.043,28,1,1,0.0,1
Studio e kitnet,Praia Botafogo,Botafogo,701.0,1.18,18,1,1,0.0,0
Casa em condomínio,Rua Antunes Maciel,São Cristóvão,1.4,1.46,100,3,1,1.0,0
Studio e kitnet,Rua Paissandu,Flamengo,1.505,1.943,17,1,1,0.0,0
Studio e kitnet,Rua Visconde de Santa Isabel,Vila Isabel,1.2,1.597,22,1,1,0.0,1
Casa,Rua Francisca Zieze,Pilares,560.0,584.0,30,1,1,0.0,0
Apartamento,Avenida Prado Júnior,Copacabana,2.451,3.206,30,1,1,1.0,0
Casa,Travessa Cerqueira Lima,Riachuelo,1.149,1.458,50,2,1,0.0,0
Studio e kitnet,Avenida Atlântica,Copacabana,1.448,2.054,23,1,1,0.0,0
Casa em condomínio,Rua Jordão,Tanque,820.0,856.0,60,2,1,1.0,0
Apartamento,Praia Botafogo,Botafogo,1.9,2.535,30,1,1,0.0,0
Studio e kitnet,Rua Odilon Araújo,Cachambi,700.0,858.0,30,1,1,0.0,0
Apartamento,Rua Pereira Pinto,Tomás Coelho,550.0,672.0,38,1,1,0.0,0
Casa,Rua Santa Catarina,Centro,798.0,867.0,30,1,1,0.0,0
Apartamento,Avenida Nossa Senhora de Copacabana,Copacabana,2.65,3.325,30,1,1,0.0,1
Studio e kitnet,Rua Santo Amaro,Glória,1.153,1.643,22,1,1,0.0,0
Apartamento,Rua Conselheiro Jobim,Engenho Novo,850.0,883.0,65,2,1,0.0,0
Studio e kitnet,Rua Anita Garibaldi,Copacabana,1.107,1.83,18,1,1,0.0,0
Apartamento,Rua São Cláudio,Estácio,1.105,1.148,30,1,1,0.0,0
Apartamento,Rua Gonçalves,Santa Teresa,845.0,1.192,49,1,1,0.0,0
Studio e kitnet,Rua Antônio Basílio,Tijuca,900.0,1.385,25,1,1,0.0,0
Casa,Rua Ana Teles,Campinho,1.206,1.258,70,1,1,0.0,1
Apartamento,Rua Barata Ribeiro,Copacabana,1.7,2.462,29,1,1,0.0,0
Studio e kitnet,Avenida Dom Hélder Câmara,Piedade,685.0,711.0,30,1,1,0.0,0
Studio e kitnet,Avenida Nossa Senhora de Copacabana,Copacabana,1.799,2.613,30,1,1,0.0,1
Apartamento,Rua Viana Drumond,Vila Isabel,800.0,2.107,100,3,3,1.0,0
Apartamento,Rua Ministro Viveiros de Castro,Copacabana,2.35,2.93,34,1,1,0.0,1
Casa,Rua Joaquim Mendes Malheiros,Marechal Hermes,950.0,990.0,60,2,1,0.0,0
Apartamento,Avenida Princesa Isabel,Copacabana,2.0,2.597,36,1,1,0.0,1
Studio e kitnet,Estrada dos Bandeirantes,Jacarepaguá,840.0,1.059,30,1,1,0.0,0
Studio e kitnet,Rua Júlio de Castilhos,Copacabana,2.029,2.751,25,1,1,0.0,1
Apartamento,Rua Pedro Américo,Catete,1.25,1.299,33,1,1,1.0,0
Studio e kitnet,Rua Tiboim,Braz de Pina,500.0,544.0,15,1,1,0.0,0
Apartamento,Rua Joaquim Martins,Encantado,1.294,1.773,48,2,1,1.0,1
Casa,Rua Clarimundo de Melo,Encantado,1.2,1.252,54,2,1,0.0,0
Casa,Rua do Outeiro,Andaraí,1.883,2.033,60,2,2,1.0,0
Apartamento,Avenida São Josemaria Escrivá,Itanhangá,1.026,1.926,50,2,1,1.0,0
Casa,Rua Jordão,Tanque,1.0,1.107,50,2,1,1.0,0
Studio e kitnet,Rua Senador Vergueiro,Flamengo,2.2,2.813,35,1,1,0.0,1
Studio e kitnet,Rua Visconde de Pirajá,Ipanema,2.6,3.526,27,1,1,0.0,1
Apartamento,Praia Botafogo,Botafogo,1.4,2.105,35,1,1,0.0,1
Apartamento,Estrada dos Bandeirantes,Jacarepaguá,1.4,1.983,50,2,1,0.0,0
Studio e kitnet,Rua Gralha do Campo,Taquara,500.0,519.0,12,1,1,0.0,0
Apartamento,Rua Barão do Bom Retiro,Engenho Novo,947.0,1.484,50,2,1,0.0,0
Apartamento,Praia de Botafogo,Botafogo,2.406,3.192,55,2,1,1.0,0
Apartamento,Avenida Nossa Senhora de Copacabana,Copacabana,2.254,2.954,30,1,1,0.0,1
Casa,Rua da Abolição,Abolição,1.1,1.147,45,1,1,0.0,0
Apartamento,Rua Clarimundo de Melo,Encantado,942.0,1.039,50,2,1,0.0,0
Apartamento,Rua Soldado Péricles Leal Bezerra,Anil,1.0,1.038,30,1,1,1.0,0
Apartamento,Rua Cardeal Dom Sebastião Leme,Santa Teresa,1.5,2.003,50,2,1,1.0,0
Apartamento,Rua Álvaro Antônio Sauka,Olaria,1.0,1.138,49,2,1,0.0,0
Casa,Rua Alfredo Pujol,Grajaú,1.2,1.252,41,1,1,0.0,0
Apartamento,Estrada dos Bandeirantes,Jacarepaguá,1.502,2.103,50,2,1,1.0,0
Casa,Rua Acapu,Marechal Hermes,1.1,1.147,56,2,1,0.0,0
Casa,Rua do Queimado,Bento Ribeiro,1.132,1.18,73,2,2,1.0,0
Casa,Rua Alfredo Pujol,Grajau,1.114,1.22,40,1,1,0.0,0
Apartamento,Rua Heráclito Graça,Lins de Vasconcelos,700.0,1.111,74,2,1,1.0,0
Studio e kitnet,Rua dos Oitis,Gávea,2.1,2.212,30,1,1,0.0,0
Studio e kitnet,Rua Djalma Ulrich,Copacabana,2.197,2.824,32,1,1,0.0,1
Apartamento,Travessa Pepe,Botafogo,3.839,4.412,85,3,2,1.0,0
Apartamento,Rua Herveira,Curicica,1.1,1.208,40,2,1,0.0,0
Casa,Rua Angelina,Encantado,650.0,677.0,38,1,1,0.0,0
Apartamento,Rua Araújo Leitão,Engenho Novo,1.25,1.619,55,2,1,0.0,0
Studio e kitnet,Rua dos Oitis,Gávea,2.25,2.367,25,1,1,0.0,0
Apartamento,Rua Guarani,Quintino Bocaiúva,530.0,987.0,40,1,1,1.0,0
Apartamento,Rua Barra Bonita,Jacarepaguá,1.9,2.574,58,2,2,1.0,0
Apartamento,Rua General Polidoro,Botafogo,2.739,3.906,65,1,1,0.0,0
Apartamento,Rua Franz Liszt,Jardim America,650.0,675.0,50,1,1,0.0,0
Apartamento,Rua Santo Amaro,Glória,1.5,1.948,36,1,1,0.0,0
Apartamento,Rua Ubaldino do Amaral,Centro,1.373,1.921,31,1,1,0.0,1
Apartamento,Rua Dom Casmurro,Anil,1.15,1.194,52,1,1,0.0,0
Apartamento,Rua Cândido Gaffrée,Urca,3.7,4.722,85,2,2,0.0,0
Apartamento,Avenida Nossa Senhora de Copacabana,Copacabana,2.392,3.176,21,1,1,0.0,1
Apartamento,Rua Riachuelo,Centro,1.7,2.246,15,1,1,0.0,1
